query_number,query_type,query,age_group,comments,image_count,answer,query_nikud
1,הבנה,איפה האף של הילד?,2:00-2:06,,1,A,אֵיפֹה הָאַף שֶׁל הַיֶּלֶד?
2,הבנה,איפה הכדור?,2:00-2:06,,3,1,אֵיפֹה הַכַּדּוּר?
3,הבנה,תראה לי ילד שישן,2:00-2:06,,2,2,תַּרְאֶה לִי יֶלֶד שֶׁיָּשֵׁן
4,הבנה,איפה הדובי הגדול?,2:00-2:06,,2,1,אֵיפֹה הַדֻּבִּי הַגָּדוֹל?
5,הבנה,איפה הדובי על הקופסא?,2:00-2:06,,3,2,אֵיפֹה הַדֻּבִּי עַל הַקֻּפְסָא?
6,הבנה,איפה כל החיות?,2:00-2:06,,10,"1,2,3,4,10",אֵיפֹה כֹּל הַחַיּוֹת?
7,הבנה,איפה האוזן של הילד?,2:07-3:00,,1,A,אֵיפֹה הָאֹזֶן שֶׁל הַיֶּלֶד?
8,הבנה,איפה הדובי האדום?,2:07-3:00,,1,A,אֵיפֹה הַדֻּבִּי הָאָדֹם?
9,הבנה,איפה הדובי בתוך הקופסא,2:07-3:00,,3,1,אֵיפֹה הַדֻּבִּי בְּתוֹךְ הַקֻּפְסָא
10,הבנה,ילדה שמחזיקה בננה,2:07-3:00,,3,2,יַלְדָּה שֶׁמַּחְזִיקָה בָּנָנָה
11,הבנה,איפה ילד יושב,2:07-3:00,,2,2,איפה ילד יושב
12,הבנה,מי שונה? מי לא מתאים לקבוצה?,2:07-3:00,,3,1,מִי שׁוֹנֶה? מִי לֹא מַתְאִים לַקְּבוּצָה?
13,הבנה,איפה הצעצועים\משחקים?,2:07-3:00,,10,"4,6,7,8","אֵיפֹה הַצַּעֲצוּעִים, הַמִּשְׂחָקִים?"
14,הבנה,איפה הילד שקופץ,3:00-4:00,,2,1,אֵיפֹה הַיֶּלֶד שֶׁקּוֹפֵץ
15,הבנה,איפה הילדה שקר לה,3:00-4:00,,2,1,אֵיפֹה הַיַּלְדָּה שֶׁקַּר לָהּ
16,הבנה,איפה הדובי ליד הקופסא,3:00-4:00,,3,2,אֵיפֹה הַדֻּבִּי לְיַד הַקֻּפְסָא
17,הבנה,הצבע על הכדור הצהוב הגדול,3:00-4:00,,3,2,הַצֶּבַע עַל הַכַּדּוּר הַצָּהֹב הַגָּדוֹל
18,הבנה,מה חרוז של חלון?,3:00-4:00,,3,2,מָה חָרוּז שֶׁל חַלּוֹן?
19,הבעה,מה משותף לחתול פרה וצב? כולם?,3:00-4:00,,3,,מָה מְשֻׁתָּף לֶחָתוּל פָּרָה וְצָב? כֻּלָּם
20,הבנה,ילדה אוכלת אגס גדול וירוק,4:00-5:00,,3,1,יַלְדָּה אוֹכֶלֶת אַגָּס גָּדוֹל וְיָרֹק
21,הבנה,איפה ילדה שקיבלה גלידה מאמא,4:00-5:00,,2,1,אֵיפֹה יַלְדָּה שֶׁקִּבְּלָה גְּלִידָה מֵאִמָּא
22,הבנה,עם מה מצחצחים,4:00-5:00,,3,1,עִם מָה מְצַחְצְחִים
23,הבנה,איפה כדור כחול קטן מתחת לשולחן,4:00-5:00,,4,2,אֵיפֹה כַּדּוּר כָּחֹל קָטָן מִתַּחַת לַשֻּׁלְחָן
24,הבנה,ילדה עם שמלה אדומה ומטרייה סגורה,4:00-5:00,,3,1,יַלְדָּה עִם שִׂמְלָה אֲדֻמָּה וּמִטְרִיָּה סְגוּרָה
25,הבנה,הצבע על הכלב לפני שאתה מצביע על החתול,4:00-5:00,,2,2->1,הַצְּבֶעַ עַל הַכֶּלֶב לִפְנֵי שֶׁאַתָּה מַצְבִּיעַ עַל הֶחָתוּל
26,הבנה,מה שונה,4:00-5:00,,3,1,מָה שׁוֹנֶה
27,הבנה,הצבע מה יקרה אחר כך,5:00-6:00,,3,2,הַצְּבֶעַ מָה יִקְרֶה אַחַר כָּךְ
28,הבנה,מי קיבל גלידה ראשון,5:00-6:00,,2,2,מִי קִבֵּל גְּלִידָה רִאשׁוֹן
29,הבנה,מי כועס כי לקחו לו צעצוע,5:00-6:00,,3,3,מִי כּוֹעֵס כִּי לָקְחוּ לוֹ צַעֲצוּעַ
30,הבעה,מה משותף למטוס וציפור?,5:00-6:00,,2,,מָה מְשֻׁתָּף לַמָּטוֹס וְצִפּוֹר?
31,הבנה,הצבע על חיה גדולה מחתול וקטנה מסוס,5:00-6:00,,4,4,הַצְּבֵעַ עַל חַיָּה גְּדוֹלָה מֵחָתוּל וּקְטַנָּה מִסּוּס
32,הבנה,אנלוגיה-נעל:רגל זה כמו כפפה ו?,5:00-6:00,,3,3,אָנָלוֹגְיָה-נַעַל:רֶגֶל זֶה כְּמוֹ כְּפָפָה וְ?
33,הבנה,מי נרטב כי שכח מטרייה,5:00-6:00,,2,1,מִי נִרְטַב כִּי שָׁכַח מִטְרִיָּה
34,הבעה,מה זה?,2:00-2:06,,2,,מָה זֶה?
35,הבעה,מה הילד עושה,2:00-2:06,,1,,מָה היֶלֶד עוֹשֶׂה
36,הבעה,מה ילד עושה,2:00-2:06,,1,,מָה היֶלֶד עוֹשֶׂה
37,הבעה,זה כדור קטן וזה?,2:00-2:06,,1,,זֶה כַּדּוּר קָטָן וְזֶה?
38,הבעה,מה הילד רוצה?,2:00-2:06,,1,,מָה הַיֶּלֶד רוֹצֶה?
39,הבעה,מה הילד עושה?,2:00-2:06,,1,,מָה הַיֶּלֶד עוֹשֶׂה?
40,הבעה,תגיד לי 2 חיות שאתה מכיר?,2:00-2:06,,1,,תַּגִּיד לִי שְׁתֵּי חַיּוֹת שֶׁאַתָּה מַכִּיר
41,הבעה,מה זה,2:07-3:00,,3,,מָה זֶה?
42,הבעה,מה הילד,2:07-3:00,,1,,מָה הַיֶּלֶד
43,הבעה,איזה צבע זה,2:07-3:00,,3,,אֵיזֶה צֶבַע זֶה
44,הבעה,תגיד 2 פירות או ירקות שאתה מכיר,2:07-3:00,,1,,תַּגִּיד פֵּרוֹת אוֹ יְרָקוֹת שֶׁאַתָּה מַכִּיר
45,הבעה,זה כדור גדול וזה ?,2:07-3:00,,1,,זֶה כַּדּוּר גָּדוֹל וְזֶה ?
46,הבעה,מה הילד אומר לאמא?,2:07-3:00,,1,,מָה הַיֶּלֶד אוֹמֵר לְאִמָּא?
47,הבעה,חזור אחריי: אמא באה הביתה,2:07-3:00,,1,,חֲזֹר אַחֲרַי: אִמָּא בָּאָה הַבַּיְתָה
48,הבעה,מה הילדה מרגישה?,3:00-4:00,,1,,מָה הַיַּלְדָּה מַרְגִּישָׁה?
49,הבעה,למה הילדה בוכה,3:00-4:00,,1,,לָמָּה הַיַּלְדָּה בּוֹכָה
50,הבעה,ספר מה קרה לפי הסדר,3:00-4:00,,1,,סַפֵּר מָה קָרָה לְפִי הַסֵּדֶר
51,הבעה,ספר מה אתה  רואה בתמונה,3:00-4:00,,1,,סַפֵּר מָה אַתָּה  רוֹאֶה בַּתְּמוּנָה
52,הבעה,אמור שני בגדי חורף שאתה מכיר,3:00-4:00,,1,,אֱמֹר שְׁנֵי בִּגְדֵי חֹרֶף שֶׁאַתָּה מַכִּיר
53,הבעה,איפה הדובי יושב,3:00-4:00,,1,,אֵיפֹה הַדֻּבִּי יוֹשֵׁב
54,הבעה,מה הילד מחזיק?,3:00-4:00,,1,,מָה הַיֶּלֶד מַחְזִיק?
55,הבעה,למה הילד עצוב,4:00-5:00,,1,,לָמָּה הַיֶּלֶד עָצוּב
56,הבעה,ספר מה קרה לפי הסדר,4:00-5:00,,1,,סַפֵּר מָה קָרָה לְפִי הַסֵּדֶר
57,הבעה,מה ההבדל בתמונות?,4:00-5:00,,2,,מָה הַהֶבְדֵּל בַּתְּמוּנוֹת?
58,הבעה,ספר על התמונה,4:00-5:00,,1,,סֵפֶר עַל הַתְּמוּנָה
59,הבעה,מה מצחיק בתמונה?,4:00-5:00,,1,,מָה מַצְחִיק בַּתְּמוּנָה?
60,הבעה,ספר שלושה דברים על המכונית,4:00-5:00,,1,,סֵפֶר שְׁלוֹשָׁה דְּבָרִים עַל הַמְּכוֹנִית
61,הבעה,ספר סיפור חופשי קצר- פעם אחת הלכתי לים ו...,4:00-5:00,הורים- הילד מספר לפחות 3 משפטים,1,,סֵפֶר סִפּוּר חָפְשִׁי קָצָר- פַּעַם אַחַת הָלַכְתִּי לַיָּם ו...
62,הבעה,מה הילד חושב?,5:00-6:00,,1,,מָה הַיֶּלֶד חוֹשֵׁב?
63,הבעה,אם היו לך כנפיים ..היית..?,5:00-6:00,,1,,אִם הָיוּ לְךָ כְּנָפַיִם ..הָיִיתָ..?
64,הבעה,כשאגדל אני:,5:00-6:00,,1,,כְּשֶׁאֶגְדַּל אֲנִי:
65,הבעה,ספר מה קרה לפי הסדר,5:00-6:00,,1,,סַפֵּר מָה קָרָה לְפִי הַסֵּדֶר
66,הבעה,מה אתה רואה בתמונה,5:00-6:00,,1,,מָה אַתָּה רוֹאֶה בַּתְּמוּנָה
67,הבעה,למה הילד רטוב למרות שיש לו מטריה?,5:00-6:00,,1,,לָמָּה הַיֶּלֶד רָטוֹב לַמְרוֹת שֶׁיֵּשׁ לוֹ מִטְרִיָּה?
68,הבעה,מה הילד חשב לפני שהוא טיפס על העץ,5:00-6:00,,1,,מָה הַיֶּלֶד חָשַׁב לִפְנֵי שֶׁהוּא טִפֵּס עַל הָעֵץ
