query_number,query_type,query,age_group,comments,image_count,answer
1,הבנה,איפה האף של הילד?,2:00-2:06,,1,
2,הבנה,איפה הכדור,2:00-2:06,,3,1
3,הבנה,תראה לי ילד שישן,2:00-2:06,,2,2
4,הבנה,איפה הדובי הגדול,2:00-2:06,,2,1
5,הבנה,איפה הדובי על הקופסא,2:00-2:06,,3,2
6,הבנה,איפה כל החיות,2:00-2:06,,10,
7,הבנה,איפה האוזן שלך,2:07-3:00,,1,
8,הבנה,איפה הדובי האדום,2:07-3:00,,1,
9,הבנה,איפה הדובי בתוך הקופסא,2:07-3:00,,3,1
10,הבנה,ילדה שמחזיקה בננה,2:07-3:00,,3,2
11,הבנה,איפה ילד יושב,2:07-3:00,,2,2
12,הבנה,מי שונה? מי לא מתאים לקבוצה?,2:07-3:00,,3,1
13,הבנה,איפה הצעצועים\משחקים?,2:07-3:00,,9,
14,הבנה,איפה הילד שקופץ,3:00-4:00,,2,1
15,הבנה,איפה הילדה שקר לה,3:00-4:00,,2,1
16,הבנה,איפה הדובי ליד הקופסא,3:00-4:00,,3,2
17,הבנה,הצבע על הכדור הצהוב הגדול,3:00-4:00,,3,2
18,הבנה,מה חרוז של חלון?,3:00-4:00,,3,2
19,הבנה,מה משותף לחתול פרה וצב? כולם?,3:00-4:00,,3,
20,הבנה,ילדה אוכלת אגס גדול וירוק,4:00-5:00,,3,1
21,הבנה,איפה ילדה שקיבלה גלידה מאמא,4:00-5:00,,2,1
22,הבנה,עם מה מצחצחים,4:00-5:00,,3,1
23,הבנה,איפה כדור כחול קטן מתחת לשולחן,4:00-5:00,,4,2
24,הבנה,ילדה עם שמלה אדומה ומטרייה סגורה,4:00-5:00,,3,1
25,הבנה,הצבע על הכלב לפני שאתה מצביע על החתול,4:00-5:00,,2,
26,הבנה,מה שונה,4:00-5:00,,3,1
27,הבנה,הצבע מה יקרה אחר כך,5:00-6:00,,3,2
28,הבנה,מי קיבל גלידה ראשון,5:00-6:00,,2,2
29,הבנה,מי כועס כי לקחו לו צעצוע,5:00-6:00,,3,3
30,הבנה,מה משותף למטוס וציפור?,5:00-6:00,,2,
31,הבנה,הצבע על חיה גדולה מחתול וקטנה מסוס,5:00-6:00,,4,4
32,הבנה,אנלוגיה-נעל:רגל זה כמו כפפה ו?,5:00-6:00,,3,3
33,הבנה,מי נרטב כי שכח מטרייה,5:00-6:00,,2,1
34,הבעה,מה זה?,2:00-2:06,,2,
35,הבעה,מה הילד עושה,2:00-2:06,,1,
36,הבעה,מה ילד עושה,2:00-2:06,,1,
37,הבעה,זה כדור קטן וזה?,2:00-2:06,,1,
38,הבעה,מה הילד רוצה?,2:00-2:06,,1,
39,הבעה,מה הילד עושה?,2:00-2:06,,1,
40,הבעה,תגיד לי 2 חיות שאתה מכיר?,2:00-2:06,,1,
41,הבעה,מה זה,2:07-3:00,,3,
42,הבעה,מה הילד,2:07-3:00,,1,
43,הבעה,איזה צבע זה,2:07-3:00,,3,
44,הבעה,תגיד 2 פירות או ירקות שאתה מכיר,2:07-3:00,,1,
45,הבעה,זה כדור גדול וזה ?,2:07-3:00,,1,
46,הבעה,מה הילד אומר לאמא?,2:07-3:00,,1,
47,הבעה,חזור אחריי: אמא באה הביתה,2:07-3:00,,1,
48,הבעה,מה הילדה מרגישה?,3:00-4:00,,1,
49,הבעה,למה הילדה בוכה,3:00-4:00,,1,
50,הבעה,ספר מה קרה לפי הסדר,3:00-4:00,,1,
51,הבעה,ספר מה אתה  רואה בתמונה,3:00-4:00,,1,
52,הבעה,אמור שני בגדי חורף שאתה מכיר,3:00-4:00,,1,
53,הבעה,איפה הדובי יושב,3:00-4:00,,1,
54,הבעה,מה הילד מחזיק?,3:00-4:00,,1,
55,הבעה,למה הילד עצוב,4:00-5:00,,1,
56,הבעה,ספר מה קרה לפי הסדר,4:00-5:00,,1,
57,הבעה,מה ההבדל בתמונות?,4:00-5:00,,2,
58,הבעה,ספר על התמונה,4:00-5:00,,1,
59,הבעה,מה מצחיק בתמונה?,4:00-5:00,,1,
60,הבעה,ספר שלושה דברים על המכונית,4:00-5:00,,1,
61,הבעה,ספר סיפור חופשי קצר- פעם אחת הלכתי לים ו...,4:00-5:00,הורים- הילד מספר לפחות 3 משפטים,1,
62,הבעה,מה הילד חושב?,5:00-6:00,,1,
63,הבעה,אם היו לך כנפיים ..היית..?,5:00-6:00,,1,
64,הבעה,כשאגדל אני:,5:00-6:00,,1,
65,הבעה,ספר מה קרה לפי הסדר,5:00-6:00,,1,
66,הבעה,מה אתה רואה בתמונה,5:00-6:00,,1,
67,הבעה,למה הילד רטוב למרות שיש לו מטריה?,5:00-6:00,,1,
68,הבעה,מה הילד חשב לפני שהוא טיפס על העץ,5:00-6:00,,1,
